"Titulo","Ano","Escritor"
"All Saints",1998,"Louise Crane"
"Fast N' Loud",2012,"Meg Mathisen"
"Upper Middle Bogan",2013,"Robyn Butler"
"Barbarians Rising",2016,"Elizabeth Dench"
"Barbarians Rising",2016,"Alexander Emmert"
"Barbarians Rising",2016,"Chris Fallon"
"Prey",2014,"Chris Lunt"
"Silk Stalkings",1991,"Stephen J. Cannell"
"Match Game",1973,"Dick DeBartolo"
"The Most Dangerous Animal of All",2020,"Kief Davidson"
"The Most Dangerous Animal of All",2020,"Ross M. Dinerstein"
"The Most Dangerous Animal of All",2020,"Elisa Bonora"
"Arifureta: From Commonplace to World's Strongest",2019,"Bonny Clinkenbeard"
"Arifureta: From Commonplace to World's Strongest",2019,"Jeramey Kraatz"
"Arifureta: From Commonplace to World's Strongest",2019,"Shirakome Ryou"
"Renegade",1992,"Stephen J. Cannell"
"Renegade",1992,"Richard C. Okie"
"Disappeared",2009,"Claire Callahan"
"Disappeared",2009,"Chris Gidez"
"My Favorite Martian",1963,"John L. Greene"
"The Slap",2015,"Jon Robin Baitz"
"The Slap",2015,"Walter F. Parkes"
"Daniel Deronda",2002,"Andrew Davies"
"Daniel Deronda",2002,"George Eliot"
"Love Thy Neighbor",2013,"Tyler Perry"
"Infinite Stratos",2011,"Izuru Yumizuru"
"Infinite Stratos",2011,"Fumihiko Shimo"
"A Certain Scientific Railgun",2009,"Seishi Minakami"
"Taggart",1983,"Glenn Chandler"
"Call Me Kat",2021,"Kimberly Altamirano"
"Call Me Kat",2021,"Miranda Hart"
"My Love Story!!",2015,"Kazune Kawahara"
"My Love Story!!",2015,"Aruko"
"Digimon Adventure:",2020,"Atsuhiro Tomioka"
"Digimon Adventure:",2020,"Akiyoshi Hongo"
"City Homicide",2007,"John Banas"
"The Lucy Show",1962,"Bob Carroll Jr."
"Bering Sea Gold",2012,"David Story"
"Dog with a Blog",2012,"Michael B. Kaplan"
"Deutschland 89",2020,"Anna Winger"
"Deutschland 89",2020,"Jörg Winger"
"The Smile Has Left Your Eyes",2018,"Hye-jin Song"
"Bakuman。",2010,"Nikolas Freeman"
"Your Pretty Face Is Going to Hell",2013,"Casper Kelly"
"Jersey Shore",2009,"Josh Raymond"
"Jersey Shore",2009,"Josh Opitz"
"Tim and Eric's Bedtime Stories",2014,"Tim Heidecker"
"Undercover Boss",2010,"Stephen Lambert"
"Vanished",2006,"Josh Berman"
"Vanished",2006,"Matthew Lau"
"Hollywood Game Night",2013,"Michael Agbabian"
"Hollywood Game Night",2013,"Alex Chauvin"
"A Christmas Carol",2019,"Charles Dickens"
"A Christmas Carol",2019,"Steven Knight"
"Black Narcissus",2020,"Amanda Coe"
"Black Narcissus",2020,"Rumer Godden"
"Pramface",2012,"Chris Reddy"
"The Lowe Files",2017,"Rob Lowe"
"When the Weather is Fine",2020,"Ga-ram Han"
"When the Weather is Fine",2020,"Do-woo Lee"
"Kämpfer",2009,"Marta Bechtol"
"Kämpfer",2009,"Kazuyuki Fudeyasu"
"American Idol",2002,"Simon Fuller"
"Lincoln Heights",2007,"Seth Freeman"
"Some Girls",2012,"Bernadette Davis"
"The Asterisk War",2015,"Marlan Moore"
"The Asterisk War",2015,"Yukito Kizawa"
"Find Me in Paris",2018,"Jill Girling"
"Wander Over Yonder",2013,"Craig McCracken"
"The Qwaser of Stigmata",2010,"Ken'etsu Satô"
"The Qwaser of Stigmata",2010,"Makoto Uezu"
"Trust Me",2017,"Dan Sefton"
"Dream Corp LLC",2016,"Kahlea Baldwin"
"Dream Corp LLC",2016,"Christopher Roe"
"Swamp People",2010,"Philip Boag"
"Swamp People",2010,"Kripa Koshy"
"Swamp People",2010,"Matthew Watts"
"Baghdad Central",2020,"Stephen Butchard"
"Baghdad Central",2020,"Elliott Colla"
"Haganai: I Don't Have Many Friends",2011,"Yomi Hirasaka"
"Haganai: I Don't Have Many Friends",2011,"Jamie Marchi"
"Coupling",2000,"Steven Moffat"
"Witchblade",2006,"Christopher Bevins"
"Witchblade",2006,"Chris Cason"
"Witchblade",2006,"Yasuko Kobayashi"
"The Bachelor",2002,"Mike Fleiss"
"The Bachelor",2002,"J. Holland Moore"
"Just Between Lovers",2017,"Bo-Ra Yoo"
"Doc McStuffins",2012,"Chris Nee"
"The Sister",2020,"Neil Cross"
"To Tell the Truth",2016,"Maximo Pain"
"Everyone Is Doing Great",2021,"James Lafferty"
"Everyone Is Doing Great",2021,"Stephen Colletti"
"Criminal Justice",2008,"Peter Moffat"
"Zomboat!",2019,"William Hartley"
"Zomboat!",2019,"Adam Miller"
"Accel World",2012,"Kristi Reed"
"Accel World",2012,"Reki Kawahara"
"Accel World",2012,"Hiroyuki Yoshino"
"Beat Shazam",2017,"Jeff Apploff"
"Beat Shazam",2017,"Wes Kauble"
"Eden of the East",2009,"Tristan Gallant"
"Saints & Sinners",2016,"Ty Scott"
"Saints & Sinners",2016,"Francisco Bustamante"
"Seed",2013,"Mark Farrell"
"Seed",2013,"Joseph Raso"
"I Love You, America",2017,"Glenn Boozan"
"I Love You, America",2017,"Raj Desai"
"Young Hercules",1998,"Andrew Dettmann"
"Young Hercules",1998,"Rob Tapert"
"The Commish",1991,"Stephen J. Cannell"
"Vanderpump Rules",2013,"Alex Baskin"
"Vanderpump Rules",2013,"Douglas Ross"
"Zeke and Luther",2009,"Tom Burkhard"
"Treehouse Masters",2013,"Grant Julian"
"Treehouse Masters",2013,"T.J. Shanks"
"The Real Housewives of Atlanta",2008,"Scott Dunlop"
"Bedlam",2011,"David Allison"
"The Gong Show",1976,"Chris Bearde"
"The Gong Show",1976,"Larry Spencer"
"James May's Man Lab",2010,"Stuart Cabb"
"James May's Man Lab",2010,"Will Daws"
"James May's Man Lab",2010,"James May"
"Mr. D",2012,"Gerry Dee"
"Kick Buttowski: Suburban Daredevil",2010,"Sandro Corsaro"
"The Real Housewives of Potomac",2016,"Scott Dunlop"
"Good Morning, Miss Bliss",1988,"Sam Bobrick"
"Good Morning, Miss Bliss",1988,"Michael Poryes"
"Astra Lost in Space",2019,"Katelyn Barr"
"Astra Lost in Space",2019,"Norimitsu Kaiho"
"Astra Lost in Space",2019,"Jeramey Kraatz"
"Nurses",2020,"Adam Pettle"
"Nurses",2020,"Seneca Aaron"
"Dragon Quest: The Adventure of Dai",2020,"Riku Sanjyo"
"Feed the Beast",2016,"Kim Fupz Aakeson"
"Feed the Beast",2016,"Clyde Phillips"
"A Wilderness of Error",2020,"Errol Morris"
"Devil May Care",2021,"Douglas Goldstein"
"Devil May Care",2021,"Mike Fasolo"
"Handy Manny",2006,"Roger Bollen"
"Handy Manny",2006,"Marilyn Sadler"
"Handy Manny",2006,"Sheila Rogerson"
"Deca-Dence",2020,"Jarrod Greene"
"Love Island Australia",2018,"Matt Lovkis"
"WWE NXT",2010,"Jenifer Bloodsworth"
"WWE NXT",2010,"Stephen Guerrieri"
"WWE NXT",2010,"Christopher DeJoseph"
"Ruyi's Royal Love in the Palace",2018,"Xuelan Wu"
"Maison close",2010,"Jacques Ouaniche"
"Maison close",2010,"Cécile Ducrocq"
"Shahs of Sunset",2012,"Ryan Seacrest"
"Shahs of Sunset",2012,"Vim Shanmugam"
"Shahs of Sunset",2012,"Lisa Silver"
"Tanked",2011,"Mike Skouras"
"Little Women: LA",2014,"Ashley Hulse"
"Little Women: LA",2014,"Andrew Hoagland"
"Quick Draw",2013,"Nancy Hower"
"Quick Draw",2013,"John Lehr"
"Food Network Star",2005,"Diana J. Lewis"
"Three Sheets",2006,"Andrew Cappelletti"
"Three Sheets",2006,"Marcus Goodwin"
"Three Sheets",2006,"Mike Kelly"
"Blood-C",2011,"Clamp"
"Blood-C",2011,"Junichi Fujisaku"
"Blood-C",2011,"Kenji Kamiyama"
"Unusual Suspects",2010,"Phil Brody"
"Unusual Suspects",2010,"Lou DeCosta"
"Unusual Suspects",2010,"Jan Kimbrough"
"Food Paradise",2007,"Mark Apostolon"
"Food Paradise",2007,"David Bock"
"Black Jesus",2014,"Mike Clattenburg"
"The Dick Cavett Show",1968,"Jean Doumanian"
"The Dick Cavett Show",1968,"David Lloyd"
"Monsterland",2020,"Aalia Brown"
"Monsterland",2020,"Emily Kaczmarek"
"The Aliens",2016,"Fintan Ryan"
"Webster",1983,"Stu Silver"
"Webster",1983,"Madeline Sunshine"
"Getting On",2009,"Jo Brand"
"Getting On",2009,"Vicki Pepperdine"
"Dante's Cove",2005,"Michael Costanza"
"Freakish",2016,"Beth Szymkowski"
"Freakish",2016,"Kristine Huntley"
"Chuggington",2008,"Sarah Ball"
"The Hills",2006,"Sean Travis"
"The Hills",2006,"Adam DiVello"
"The Hills",2006,"Rajan Shandil"
"The Awesomes",2013,"Seth Meyers"
"Yu-Gi-Oh! 5D's",2008,"Kazuki Takahashi"
"Yu-Gi-Oh! 5D's",2008,"John Dominic Drdek"
"Hollyoaks",1995,"Phil Redmond"
"Absolute Duo",2015,"Takashi Aoshima"
"Absolute Duo",2015,"Takamitsu Kono"
"Absolute Duo",2015,"Brandon Potter"
"Total Divas",2013,"Alexandra Lucas"
"What Would You Do?",2008,"Isaac Leicht"
"What Would You Do?",2008,"Kim Powers"
"Born This Way",2015,"Daniels Calvin"
"Late Night with Seth Meyers",2014,"Jermaine Affonso"
"Flavor of Love",2006,"Cris Abrego"
"Flavor of Love",2006,"Mark Cronin"
"Momma Named Me Sheriff",2019,"Will Carsola"
"Momma Named Me Sheriff",2019,"Robert Frenay"
"Hunderby",2012,"Julia Davis"
"Hunderby",2012,"Barunka O'Shaughnessy"
"World of Dance",2017,"Kris Curry"
"World of Dance",2017,"Tina Nicotera"
"World of Dance",2017,"Matilda Zoltowski"
"Gap Year",2017,"Tom Basden"
"Gap Year",2017,"Jamie Campbell"
"The Driver",2014,"Daniel Brocklehurst"
"The Driver",2014,"Jim Poyser"
"Cults and Extreme Belief",2018,"Eli Holzman"
"Cults and Extreme Belief",2018,"Aaron Saidman"
"Napoleon Dynamite",2012,"Joe Chandler"
"Napoleon Dynamite",2012,"Jared Hess"
"Man Up!",2011,"Shawn Simmons"
"Man Up!",2011,"Christopher Moynihan"
"Butterfly",2018,"Tony Marchant"
"Blood Lad",2013,"Chris Cason"
"Blood Lad",2013,"Kenji Konuta"
"Siblings",2014,"Keith Akushie"
"Law & Order True Crime",2017,"Rene Balcer"
"Law & Order True Crime",2017,"Gina Gionfriddo"
"The $100,000 Pyramid",2016,"Kyle Beakley"
"The $100,000 Pyramid",2016,"Michael X. Ferraro"
"The $100,000 Pyramid",2016,"Shawn Kennedy"
"Stars Align",2019,"Kazuki Akane"
"Stars Align",2019,"Jessica Cavanagh"
"Stars Align",2019,"Jarrod Greene"
"East Los High",2013,"Davah Avena"
"East Los High",2013,"Kathleen Bedoya"
"Sister Wives",2010,"Amy Bridges"
"Crossing Swords",2020,"John Harvatine IV"
"Crossing Swords",2020,"Tom Root"
"Baka and Test: Summon the Beasts",2010,"Jamie Marchi"
"Baka and Test: Summon the Beasts",2010,"Katsuhiko Takayama"
"Baka and Test: Summon the Beasts",2010,"Kenji Inoue"
"Threesome",2011,"Tom MacRae"
"Maken-Ki! Battling Venus",2011,"Takeda Hiromitsu"
"Maken-Ki! Battling Venus",2011,"Noboru Kimura"
"Sherman's Showcase",2019,"Diallo Riddle"
"Yashahime: Princess Half-Demon",2020,"Katsuhiko Chiba"
"Yashahime: Princess Half-Demon",2020,"Hiroko Kanasugi"
"Yashahime: Princess Half-Demon",2020,"Katsuyuki Sumizawa"
"Outbreak Company",2013,"Naruhisa Arakawa"
"Outbreak Company",2013,"Kyle Jones"
"Marriage Boot Camp: Reality Stars",2014,"Robert Campagna"
"Marriage Boot Camp: Reality Stars",2014,"Robert A. Palmer"
"Fashion House",2006,"Colet Abedi"
"Fashion House",2006,"Nirvana Adams"
"Fashion House",2006,"Richard Andreoli"
"Southern Gothic",2020,"Emily Altmann"
"Southern Gothic",2020,"Joseph Maddrey"
"Southern Gothic",2020,"Steven Zorn"
"I Am Frankie",2017,"Marcela Citterio"
"I Am Frankie",2017,"Stacey Greenberger"
"I Am Frankie",2017,"Jeff Sayers"
"Our Cartoon President",2018,"Stephen Colbert"
"Our Cartoon President",2018,"R.J. Fried"
"Our Last Crusade or the Rise of a New World",2020,"Sazane Kei"
"Our Last Crusade or the Rise of a New World",2020,"Kento Shimoyama"
"The Furchester Hotel",2014,"Michael J. Goldberg"
"The Furchester Hotel",2014,"Ciaran Murtagh"
"The Furchester Hotel",2014,"George Poles"
"Little Mosque on the Prairie",2007,"Lara Rae"
"The Wallflower",2006,"Tiffany Grant"
"The Wallflower",2006,"Haruka"
"The Wallflower",2006,"Tomoko Hayakawa"
"The Real Housewives of Orange County",2006,"Scott Dunlop"
"Married to Medicine",2013,"Matt Anderson"
"Married to Medicine",2013,"Cooper Green"
"Married to Medicine",2013,"Nate Green"
"The Real Housewives of New Jersey",2009,"Scott Dunlop"
"Cold Squad",1998,"Matt MacLeod"
"Stacked",2005,"Steven Levitan"
"Stacked",2005,"Judah Miller"
"Caillou",1998,"Shelley Hoffman"
"Caillou",1998,"Robert Pincombe"
"Caillou",1998,"Nisha Muire"
"Snake City",2014,"Benjamin Hewett"
"Snake City",2014,"Richard Slater-Jones"
"Wasted",2016,"Jon Foster"
"Total Wipeout",2009,"Inman Bros"
"Total Wipeout",2009,"Andrew Dawson"
"Total Wipeout",2009,"Steve Dawson"
"Air Gear",2006,"Clint Bickham"
"Air Gear",2006,"Oh! Great"
"Press Your Luck",2019,"Chester Feldman"
"Black Blood Brothers",2006,"Kouhei Azano"
"Black Blood Brothers",2006,"Yuu Sugitani"
"Below the Surface",2017,"Damián Romay"
"The Gumby Show",1955,"Art Clokey"
"Are You Smarter Than a 5th Grader?",2007,"Ann Slichter"
"Are You Smarter Than a 5th Grader?",2007,"Seth Harrington"
"Maxxx",2020,"Jim Annan"
"Maxxx",2020,"Tara Ayeni"
"Maxxx",2020,"Ali Bryer Carron"
"Jeopardy! The Greatest of All Time",2020,"Matt Caruso"
"Jeopardy! The Greatest of All Time",2020,"John Duarte"
"Jeopardy! The Greatest of All Time",2020,"Harry Friedman"
"The Strange Calls",2012,"Daley Pearson"
"The Strange Calls",2012,"Anthony Mullins"
"Flavor of Love Girls: Charm School",2007,"Cris Abrego"
"Flavor of Love Girls: Charm School",2007,"Michelle Brando"
"Flavor of Love Girls: Charm School",2007,"Mark Cronin"
"Call Your Mother",2021,"Amy Iglow"
"Call Your Mother",2021,"Kari Lizer"
"Lincoln: Divided We Stand",2021,"Lauren Saft"
"Toopy and Binoo",2005,"Dominique Jolin"
"Toopy and Binoo",2005,"Katherine Sandford"
"Toopy and Binoo",2005,"Nancy Trites-Botkin"
"The Loop",2006,"Pam Brady"
"Weakest Link",2001,"David Floyd"
"Weakest Link",2001,"Andrew Robbins"
"Weakest Link",2001,"Jonathan Bourne"
"Breaking Amish",2012,"Eric Evangelista"
"Breaking Amish",2012,"Shannon Evangelista"
"Cleopatra in Space",2020,"Alethea Jones"
"Cleopatra in Space",2020,"Lindsay Kerns"
"The Adventures of Paddington Bear",1997,"Thor Bishopric"
"The Adventures of Paddington Bear",1997,"Joan Scott"
"The Adventures of Paddington Bear",1997,"Michael Bond"
"Saved by the Bell: The College Years",1993,"Elaine Aronson"
"Saved by the Bell: The College Years",1993,"Sam Bobrick"
"Don't",2020,"Kevin Burrows"
"Don't",2020,"Matt Mider"
"Behind Bars: Rookie Year",2015,"Jason Bolicki"
"Black Cat",2005,"Kentaro Yabuki"
"Metástasis",2014,"Vince Gilligan"
"Metástasis",2014,"Lina Maria Arboleda"
"Lucas Bros Moving Co",2013,"Keith Lucas"
"Chopped Junior",2015,"Linda Lea"
"Dancing with the Stars",2005,"Dave Boone"
"The Other Guy",2017,"Matt Okine"
"The Other Guy",2017,"Becky Lucas"
"The Kennedys",2015,"Lucy Guy"
"The Kennedys",2015,"Emma Kennedy"
"The Kennedys",2015,"Paul Kerensa"
"Capital One College Bowl",2021,"Jon Macks"
"Capital One College Bowl",2021,"Don Reid"
"Capital One College Bowl",2021,"Richard Reid"
"The Wall",2016,"Dwain Worrell"
"Divorce Court",1999,"Jeff Copeland"
"Unikitty!",2017,"Ed Skudder"
"Sheriff Callie's Wild West",2013,"Krista Tucker"
"Psychic Detective Yakumo",2010,"Manabu Kaminaga"
"Psychic Detective Yakumo",2010,"Hiroyuki Kawasaki"
"Monster Rancher",1999,"Shinzô Fujita"
"Monster Rancher",1999,"Osamu Nakamura"
"Monster Rancher",1999,"Michael S. Harbour"
"Big Windup!",2007,"Asa Higuchi"
"Big Windup!",2007,"Kazuho Hyodo"
"Big Windup!",2007,"Yasunori Ide"
"Fugget About It",2012,"Willem Wennekers"
"Fugget About It",2012,"Jeff Abugov"
"Yu-Gi-Oh! Arc-V",2014,"Kazuki Takahashi"
"Yu-Gi-Oh! Arc-V",2014,"Roland Gonzalez"
"Yu-Gi-Oh! Arc-V",2014,"Tsutomu Kamishiro"
"Max Steel",2000,"Asaph Fipke"
"Max Steel",2000,"Matthew Drdek"
"Dead Boss",2012,"Sharon Horgan"
"Dead Boss",2012,"Holly Walsh"
"Pinky Dinky Doo",2006,"Michele Cavin"
"No Guns Life",2019,"Clayton Browning"
"No Guns Life",2019,"Yukie Sugawara"
"The Munsters Today",1988,"Steven Baum"
"The Munsters Today",1988,"Ted Bergman"
"The Munsters Today",1988,"Barbara Berkowitz"
"Hello Kitty's Furry Tale Theater",1987,"Yuko Shimizu"
"Hello Kitty's Furry Tale Theater",1987,"Tony Marino"
"Hello Kitty's Furry Tale Theater",1987,"Martha Moran"
"Ladhood",2019,"Liam Williams"
"Arte",2020,"Alex Mai"
"Ready, Steady, Wiggle!",2013,"Murray Cook"
"Ready, Steady, Wiggle!",2013,"Jeff Fatt"
"The Hotwives of Orlando",2014,"Dannah Feinglass Phirman"
"The Hotwives of Orlando",2014,"Danielle Schneider"
"Yu-Gi-Oh! Zexal",2011,"Kazuki Takahashi"
"Yu-Gi-Oh! Zexal",2011,"Shin Yoshida"
"Soul Eater Not!",2014,"Atsushi Ohkubo"
"The Only Way Is Essex",2010,"Tony Wood"
"The Only Way Is Essex",2010,"Ruth Wrigley"
"Mythbusters Jr.",2019,"Ross Gallen"
"Mythbusters Jr.",2019,"Peter Rees"
"Cake",2019,"Taylor Armstrong"
"Cake",2019,"Harry Chaskin"
"Cake",2019,"Laura Grey"
"Major Lazer",2015,"Kevin Kasatsu"
"Major Lazer",2015,"Diplo"
"Astroblast!",2014,"Susan Kim"
"Astroblast!",2014,"Jill Cozza-Turner"
"Astroblast!",2014,"Jack Ferraiolo"
"Rosa Diamante",2012,"Luis Colmenares"
"Rosa Diamante",2012,"Arnaldo Limansky"
"Rosa Diamante",2012,"Gennys Pérez"
"Hakumei and Mikochi",2018,"Takuto Kashiki"
"Hakumei and Mikochi",2018,"Reiko Yoshida"
"Undefeated Bahamut Chronicle",2016,"Senri Akatsuki"
"Undefeated Bahamut Chronicle",2016,"Yuko Kakihara"
"Undefeated Bahamut Chronicle",2016,"Hiroko Kanasugi"
"The New Adventures of Figaro Pho",2015,"Tim Bain"
"The New Adventures of Figaro Pho",2015,"Frank Verheggen"
"The New Adventures of Figaro Pho",2015,"Craig Behenna"
"Bleak House",1985,"Trevor Kay"
"More Than Friends",2020,"Jo Seung-Hee"
"Part of Me",2014,"Daniel Flores"
"Rock the Block",2019,"Tiffany Cascio"
"Rock the Block",2019,"Stephanie Locher"
"Rock the Block",2019,"Eric R. Robertson"
"Appare-Ranman!",2020,"Masakazu Hashimoto"
"The Case That Haunts Me",2018,"Eric Sabbag"
"Alguien Te Mira",2010,"Perla Farías"
"Alguien Te Mira",2010,"Pablo Illanes"
"All Night",2018,"Jason Ubaldi"
"All Night",2018,"Mackenzie Yeager"
1969,2019,"Jeanmarie Condon"
1969,2019,"Melia Patria"
"Kaleido Star",2003,"Monica Rial"
"Kaleido Star",2003,"Reiko Yoshida"
"Indebted",2020,"Dan Levy"
"Indebted",2020,"Stephanie Amante-Ritter"
"Stone Quackers",2014,"Ben Jones"
"Genius Junior",2018,"Dave Boone"
"Bloque de Búsqueda",2016,"Jörg Hiller"
"Trolls: TrollsTopia",2020,"Matthew Ireland Beans"
"Trolls: TrollsTopia",2020,"Marie Cheng"
"Blippi",2014,"Akanksha Aurora"
"Blippi",2014,"Sean Kunz"
"Blippi",2014,"Aurora Simcovich"
"Jann",2019,"Leah Gauthier"
"Cardfight!! Vanguard",2011,"Kyle Bottom"
"Cardfight!! Vanguard",2011,"Yuki Enatsu"
"Cardfight!! Vanguard",2011,"Akira Itô"
"Mrs. Piggle-Wiggle",1994,"Barbara Bottner"
"Mrs. Piggle-Wiggle",1994,"Philip LaZebnik"
"Mrs. Piggle-Wiggle",1994,"Betty MacDonald"
"Pinky, Elmyra & the Brain",1998,"Alex Borstein"
"Pinky, Elmyra & the Brain",1998,"Gordon Bressack"
"Pinky, Elmyra & the Brain",1998,"Kate Donahue"
"The Millionaire Matchmaker",2008,"Maximo Pain"
"Azur Lane",2019,"Leah Clark"
"Azur Lane",2019,"Jin Haganeya"
"Azur Lane",2019,"Madeleine Morris"
"WWE Main Event",2012,"Ryan Callahan"
"WWE Main Event",2012,"Vince McMahon"
"House Hunters Renovation",2012,"Don Colliver"
"Endlings",2020,"Caitlin D. Fryers"
"Endlings",2020,"Gillian Muller"
"Celebrity Wheel of Fortune",2021,"Merv Griffin"
"Return to Downton Abbey: A Grand Event",2019,"David O'Brien"
"D.Gray-man Hallow",2016,"Tatsuto Higuchi"
"D.Gray-man Hallow",2016,"Katsura Hoshino"
"D.Gray-man Hallow",2016,"Kenichi Yamashita"
"Ellen's Game of Games",2017,"Gil Rief"
"Ellen's Game of Games",2017,"Kevin A. Leman II"
"Nina's World",2015,"Bernice Vanderlaan"
"Charlie Rose",1991,"Charlie Rose"
"Love in the Time of Corona",2020,"Lauren Bans"
"Love in the Time of Corona",2020,"Resheida Brady"
"Love in the Time of Corona",2020,"Heather Flanders"
"El Fantasma de Elena",2010,"Isamar Hernández"
"El Fantasma de Elena",2010,"Humberto 'Kiko' Olivieri"
"Holly Hobbie",2018,"Sarah Glinski"
"Samurai Harem",2009,"Hideyuki Kurata"
"Samurai Harem",2009,"Yu Minamoto"
"Samurai Harem",2009,"Tatsuya Takahashi"
"Negima!",2005,"Ken Akamatsu"
"Negima!",2005,"Joel Bergen"
"Negima!",2005,"Ichirô Ôkouchi"
"Australia's Next Top Model",2005,"Richard Stomps"
"Spring Baking Championship",2015,"Justin Wasmundt"
"Nabari no Ou",2008,"Leah Clark"
"Nabari no Ou",2008,"Monica Rial"
"Nabari no Ou",2008,"Eric Vale"
"Littlekenny",2019,"Jared Keeso"
"Deadly Wives",2013,"Jan Kimbrough"
"I Can See Your Voice",2020,"Ken Jeong"
"Battleground",2012,"Justin Abarca"
"Battleground",2012,"Scott Cushman"
"Battleground",2012,"Elizabeth Triplett"
"Hitler's Last Stand",2018,"Maija Leivo"
"Hitler's Last Stand",2018,"Greg Kier"
"Hitler's Last Stand",2018,"David Schmidt"
"Juana la virgen",2002,"Germán Aponte"
"Juana la virgen",2002,"Irene Calcaño"
"Juana la virgen",2002,"Perla Farías"
"Underworld, Inc.",2015,"Rubia Dar"
"Underworld, Inc.",2015,"Ginita Jimenez"
"High School USA!",2013,"Dino Stamatopoulos"
"Pooch Perfect",2021,"Michael Krupat"
"El Mariachi",2014,"Robert Rodriguez"
"El Mariachi",2014,"Lina Uribe"
"El Mariachi",2014,"Dario Vanegas"
"The Mighty Ones",2020,"Sunil Hall"
"Where's Waldo?",2020,"Madison Bateman"
"Where's Waldo?",2020,"Sam Cherington"
"Zou",2012,"Thomas Badoureaux"
"Zou",2012,"Marie Beardmore"
"Zou",2012,"Hervé Benedetti"
"Toddlers & Tiaras",2009,"Matt Sims"
"Toddlers & Tiaras",2009,"Sara Reddy"
"Girls Beyond the Wasteland",2016,"Yuniko Ayana"
"Girls Beyond the Wasteland",2016,"Takuya Satô"
"Girls Beyond the Wasteland",2016,"Ayumi Sekine"
"Tree Fu Tom",2012,"Douglas Wood"
"Runaways",2012,"Beth Szymkowski"
"Madagascar: A Little Wild",2020,"Roxy Simons"
"NY-LON",2004,"Simon Burke"
"NY-LON",2004,"Anya Camilleri"
"I Am Cait",2015,"Alexandra Lucas"
"Infinite Dendrogram",2020,"Clayton Browning"
"Infinite Dendrogram",2020,"Yûichirô Momose"
"Inside the NFL",1977,"Jerry Perzigian"
"Inside the NFL",1977,"Dave Gabel"
"Inside the NFL",1977,"Cameron R. Penn"
"Gensomaden Saiyuki",2000,"Katsuyuki Sumizawa"
"Gensomaden Saiyuki",2000,"Michiko Yokote"
"Anyone But Me",2009,"Steven Alexander"
"Anyone But Me",2009,"Susan Miller"
"The Dating Guy",2009,"Mark J.W. Bishop"
"The Dating Guy",2009,"Matt Hornburg"
"The Dating Guy",2009,"A.M. Reid"
"Celebs Go Dating",2016,"Rob Beckett"
"Celebs Go Dating",2016,"Phil Kerr"
"Planet Sheen",2010,"John A. Davis"
"Planet Sheen",2010,"Keith Alcorn"
"College Hill",2004,"Yolanda Buggs"
"College Hill",2004,"Christopher Scott Cherot"
"Good Morning America",1975,"Laura Zaccaro"
"Good Morning America",1975,"Greg Tufaro"
"Good Morning America",1975,"David Saltman"
"Joe and Jack",2012,"Danny Nash"
"Joe and Jack",2012,"Corrina Askin"
"The Young Turks",2005,"Cenk Uygur"
"The Young Turks",2005,"Ana Kasparian"
"Paradise Run",2016,"Julio Vincent Gambuto"
"Paradise Run",2016,"Jay Wolff"
"A3!",2020,"Beto Ribeiro"
"Jack Hanna's Into the Wild",2007,"Chris Bauman"
"Jack Hanna's Into the Wild",2007,"David Bock"
"ClassicaLoid",2016,"Miya Asakawa"
"ClassicaLoid",2016,"Kyo Kogure"
"ClassicaLoid",2016,"Shû Matsubara"
"The View",1997,"Andrew Smith"
"The View",1997,"Tony Garofalo"
"The View",1997,"Frank Santopadre"
"The Celebrity Dating Game",2021,"Patrick Carlyle"
"The Celebrity Dating Game",2021,"David Sidorov"
"The Celebrity Dating Game",2021,"Milly Tamarez"
"Rurangi",2020,"Cole Meyers"
"Rurangi",2020,"Oliver Page"
"Mighty Magiswords",2015,"Kyle A. Carrozza"
"The Paynes",2018,"Tyler Perry"
"Basketball Wives LA",2011,"Andrew Hoagland"
"The Weekly",2019,"Dan Barry"
"The Weekly",2019,"Liz O. Baylen"
"The Weekly",2019,"Liz Day"
"Connecting...",2020,"Brendan Gall"
"Connecting...",2020,"Martin Gero"
"Jim Henson Presents Mother Goose Stories",1990,"David Angus"
"Jim Henson Presents Mother Goose Stories",1990,"L. Frank Baum"
"Side Effects",2013,"Scott Z. Burns"
"Rock of Love with Bret Michaels",2007,"Mark Cronin"
"Rock of Love with Bret Michaels",2007,"Cris Abrego"
"American Scandals",2015,"Peri Muldofsky"
"Eva La Trailera",2017,"Yoyiana Ahumada"
"Eva La Trailera",2017,"Felipe Espinet"
"Eva La Trailera",2017,"Eduardo Macías"
"The Hotwives of Las Vegas",2015,"Dannah Feinglass Phirman"
"The Hotwives of Las Vegas",2015,"Danielle Schneider"
"The Happy Days of Garry Marshall",2020,"John Scheinfeld"
"Driven",2020,"Casey Dillard"
"Mother Up!",2013,"Marnie Nir"
"Mother Up!",2013,"Michael Shipley"
"Steve Harvey's Funderdome",2017,"Daniel Munday"
"Oh Jerome, No",2019,"Teddy Blanks"
"Oh Jerome, No",2019,"Alex Karpovsky"
"Zorro the Chronicles",2015,"Eric Rondeaux"
"Zorro the Chronicles",2015,"Olivier Bardy"
"Zorro the Chronicles",2015,"Annabelle Perrichon"
"Truth & Iliza",2017,"Corinne Marshall"
"Truth & Iliza",2017,"Iliza Shlesinger"
